Freq,InputRe,InputIm,OutputRe,OutputIm,Mag,Phase,SmoothMag,SmoothPhase
363.4983,1074528,0,-18259.37,33720.16,-29.10033,120.2028,-28.5783,-244.5604
368.9236,1034087,0,-9504.085,35360.55,-29.10229,106.9849,-28.57737,-247.7747
374.349,957953.8,0,-15778.9,42126.39,-26.71565,113.0112,-28.48512,-251.1708
379.7743,888302.6,0,-8980.001,40359.67,-26.73856,105.1194,-28.19765,-254.8265
385.1996,1193474,0,-20227.71,59040.98,-25.78743,111.6967,-27.95753,-259.0552
390.625,1348911,0,-8650.89,62012.67,-26.73093,100.557,-27.76796,-263.204
396.0504,944288.9,0,4233.755,41186.1,-27.13073,86.63951,-27.62541,-267.3464
401.4757,1089576,0,11385.01,57698.08,-25.27722,81.90096,-27.57112,-272.3788
406.901,1011522,0,7219.532,50577.86,-25.88148,84.75947,-27.36944,-275.8744
412.3264,847099,0,10246.1,36320.2,-26.92563,76.73112,-27.37323,-281.2674
417.7517,524324.6,0,4661.311,17870.55,-28.99095,77.3504,-27.50805,-286.6505
423.1771,701076.9,0,10340.51,19304.1,-29.98108,63.42448,-27.49223,-291.0471
428.6024,826713.4,0,8408.607,31578.52,-27.97943,77.29943,-27.50277,-295.1951
434.0278,889892.6,0,16308.84,44222.88,-25.37047,72.65463,-27.71476,-299.1057
439.4531,950944.5,0,25216.19,33220.54,-26.93111,54.85476,-27.99361,-303.3561
444.8785,1363614,0,50166.04,30102.75,-27.02671,32.27931,-28.59976,-309.1461
450.3038,1027604,0,30743.39,30564.04,-27.23677,46.58854,-29.03163,-313.4941
455.7292,487568.3,0,12398.65,8917.237,-29.86041,36.79919,-29.47379,-315.6063
461.1545,521621.1,0,15507.66,13945.06,-27.70384,43.54134,-29.89027,-318.1036
466.5799,425172.8,0,15049.25,6261.484,-28.01562,23.46523,-30.25363,-321.9521
472.0052,529581.6,0,16332.57,7162.703,-29.18236,24.47957,-30.69124,-327.1626
477.4305,863675.7,0,27182.04,13806.6,-28.76801,27.87302,-30.96504,-332.6353
482.8559,873766.3,0,27321.32,9531.68,-29.32368,19.87769,-31.15791,-336.6308
488.2813,795239.1,0,18578.62,10767.44,-31.16748,30.88918,-31.45097,-341.8919
493.7066,633240.3,0,13997.85,3882.016,-32.59436,15.85943,-32.02489,-348.6992
499.132,457639.8,0,5288.017,-911.324,-38.51658,-9.893597,-32.25182,-355.3141
504.5573,431761.4,0,6805.127,1090.245,-35.80013,9.248964,-32.76123,-359.2789
509.9826,587808.4,0,6555.9,5842.862,-36.41613,42.28454,-33.07349,-363.957
515.408,746781.1,0,12786.74,7060.494,-34.0233,29.45743,-33.19316,-364.8652
520.8333,500215.8,0,10316.22,696.0908,-33.51201,3.941612,-33.32839,-363.9595
526.2587,631273.4,0,8244.323,-5194.418,-36.11548,-32.69108,-34.37127,-359.1489
531.684,890836.3,0,12856.8,-9669.055,-34.74078,-37.57624,-35.00879,-367.7266
537.1094,763643.1,0,13997.03,-5119.358,-34.03136,-20.48106,-35.6732,-369.1217
542.5347,454655.1,0,7405.168,-4731.882,-34.13379,-33.18463,-35.80474,-373.1418
547.9601,401056.2,0,1874.433,-5033.464,-37.42276,-70.29739,-35.94194,-379.2921
553.3854,460285.4,0,1541.33,-11836.62,-31.69672,-84.05889,-36.13886,-378.2251
558.8108,288634.3,0,2371.07,-2866.75,-37.72431,-50.97984,-36.08256,-376.2189
564.2361,340637.8,0,4348.039,-5321.05,-33.79419,-51.6529,-36.55803,-374.7662
569.6614,651000.3,0,14618.8,4558.278,-32.37338,17.72836,-36.469,-376.967
575.0868,369768.6,0,5239.411,9479.984,-30.5438,62.56109,-36.5107,-381.175
580.5121,470989.4,0,-849.7653,1244.042,-49.91615,124.4868,-36.4678,-385.3469
585.9375,395124,0,-2692.231,-1228.305,-42.57022,-155.6525,-36.36414,-382.8374
591.3629,450610.8,0,3269.432,-80.62036,-42.7207,-1.422886,-36.51791,-382.4267
596.7882,202587.6,0,2241.752,-4451.59,-32.08587,-64.54375,-36.35225,-384.9026
602.2136,253284.7,0,-626.1891,-4999.723,-34.0488,-98.26688,-36.40844,-382.8187
607.6389,415044.2,0,4727.59,3660.961,-36.72963,38.26476,-36.3404,-380.227
613.0642,674217.6,0,7697.515,4777.473,-37.33433,32.23654,-36.46038,-378.7109
618.4896,594460.9,0,2344.988,1937.765,-45.78493,39.7559,-36.31811,-377.848
623.9149,387640.6,0,7113.351,-479.9155,-34.54652,-3.931978,-36.25991,-380.8189
629.3403,431691.3,0,4073.323,-6527.298,-34.89909,-58.90852,-36.32904,-387.2948
634.7656,321560.2,0,1000.549,-7440.193,-32.61099,-83.67047,-36.77242,-398.1542
640.191,339238.1,0,6301.712,2246.737,-33.93858,20.00921,-36.15318,-395.7139
645.6163,346134.1,0,3796.79,-2070.546,-37.97018,-28.95199,-35.82793,-393.7999
651.0417,443326.2,0,4271.692,-12313.82,-30.55242,-72.47473,-35.36364,-399.3304
656.467,508042,0,8428.57,1547.008,-35.31375,10.57791,-35.43245,-403.2396
661.8923,578151.6,0,8697.709,-2432.93,-35.99398,-15.8722,-35.35884,-406.692
667.3177,561426.6,0,6743.199,-8431.727,-34.21624,-52.22012,-35.23307,-399.983
672.743,358740.1,0,5473.841,-3460.32,-34.73651,-32.86047,-35.11846,-409.1516
678.1684,249654.3,0,-2296.591,-5463.645,-32.57211,-114.0413,-34.43983,-418.0649
683.5938,322635.3,0,-3034.012,-5896.36,-33.82517,-118.2656,-34.34039,-424.8053
689.0191,454535.6,0,-4515.92,-1181.515,-39.85478,-165.4856,-34.25967,-430.015
694.4445,293640.3,0,-4238.366,320.72,-36.91203,175.7343,-34.20414,-433.4122
699.8698,195799.9,0,-1340.707,-2927.383,-35.73992,-115.458,-34.6991,-441.665
705.2952,360479.2,0,-3639.112,-7326.947,-32.97058,-117.5652,-34.54428,-446.9159
710.7205,377848.3,0,-6711.526,-4533.502,-33.53103,-146.6372,-34.99855,-451.6275
716.1458,196647.5,0,-4708.43,-784.3333,-32.50296,-170.7657,-35.09946,-458.5484
721.5712,203107.5,0,-4091.838,61.6853,-34.08841,179.1534,-34.91232,-462.7786
726.9965,463728.5,0,-7945.587,-2899.261,-34.92763,-160.3057,-35.2794,-462.3312
732.4219,406082.6,0,-9188.327,-6062.013,-31.53348,-147.4214,-35.16138,-460.3147
737.8472,237985.7,0,-4719.739,-3342.807,-32.45842,-145.4806,-35.53825,-449.5226
743.2726,195704.1,0,-4278.449,-905.3834,-33.20395,-168.311,-35.45133,-436.0192
748.6979,286711.9,0,-7092.204,-3405.866,-31.44489,-155.0126,-35.68045,-431.9371
754.1233,326250.1,0,-1777.104,-899.9214,-44.33256,-153.2996,-35.65006,-438.8983
759.5486,175012,0,-2442.225,-2158.887,-34.71897,-139.2209,-35.5177,-428.3705
764.9739,217386.7,0,-2147.385,-327.341,-40.09209,-171.4182,-36.21027,-430.1247
770.3993,218077.4,0,-2062.937,-2120.705,-37.43278,-134.7608,-36.65647,-415.9316
775.8246,162898.6,0,-941.1946,-3976.583,-32.06402,-104.7063,-37.22736,-407.5824
781.25,159838.7,0,938.4498,-860.3724,-41.92498,-42.82488,-37.34829,-407.6449
786.6754,217686.5,0,5115.697,834.2094,-32.25806,9.48647,-37.96965,-402.9286
792.1007,227618.5,0,-812.3419,2001.407,-40.48642,112.5935,-38.11971,-403.1042
797.5261,201248.3,0,-5002.839,1346.961,-31.99985,165.3052,-37.98172,-402.0146
802.9514,129130.8,0,138.2301,-741.0231,-44.66625,-79.76266,-37.84021,-400.1499
808.3767,186959.4,0,2475.061,1378.775,-36.27393,29.54893,-38.2017,-399.4903
813.8021,190357.4,0,-1069.392,4171.247,-32.96034,105.6276,-37.91135,-399.6757
819.2274,155621.1,0,-592.5817,-285.1894,-47.51468,-154.4047,-37.64423,-396.6903
824.6528,179964.7,0,-1136.603,624.3258,-42.90113,151.4179,-37.14939,-390.8198
830.0781,163135.4,0,963.8688,76.53934,-44.49184,4.567284,-37.63929,-379.8664
835.5035,304551,0,-4554.037,174.2107,-36.62784,177.8416,-38.34595,-376.61
840.9288,309844.4,0,597.2617,-1080.417,-47.97625,-61.26606,-37.97146,-377.2903
846.3542,76673.91,0,-1251.815,-705.7144,-34.68462,-151.1066,-37.8271,-382.4571
851.7795,129740.5,0,-2259.957,-3766.572,-29.56071,-122.5984,-37.65683,-394.4963
857.2048,220497.1,0,-4238.157,-5472.021,-30.23219,-129.1531,-37.61606,-394.5597
862.6302,352220.8,0,-3074.679,-2511.437,-39.03619,-141.1626,-37.23995,-385.3338
868.0555,217371.3,0,-2478.21,-1056.112,-38.2351,-157.1935,-37.00451,-382.2529
873.4809,245142.3,0,2262.404,-8208.362,-29.10967,-76.52625,-36.76407,-394.8841
878.9063,281398.1,0,6172.012,-6565.984,-29.70039,-48.13816,-36.59671,-380.1554
884.3316,271989.5,0,-97.99561,1114.316,-47.72062,95.26044,-36.1396,-387.4182
889.757,364880.5,0,1325.586,-969.0422,-46.90388,-36.32062,-35.28367,-387.9223
895.1823,202915.9,0,2214.258,-3303.726,-34.06081,-57.11186,-35.13422,-397.4751
900.6077,122337.9,0,-521.5386,-4217.393,-29.22649,-99.01564,-34.62958,-398.0612
906.033,182640.1,0,-2009.998,-1704.42,-36.91055,-140.2319,-35.08299,-388.5211
911.4583,166404.3,0,-4544.403,1344.018,-31.14388,163.9747,-35.56783,-382.7255
916.8837,193344.9,0,-1112.183,2592.946,-36.76794,113.9797,-36.00363,-380.7724
922.309,190108,0,-243.0846,5161.241,-31.32959,94.24969,-35.80819,-376.5939
927.7344,151302.6,0,-5895.138,-2287.089,-27.91105,-159.6292,-35.7785,-369.5338
933.1597,235195.7,0,-1349.832,636.7834,-44.00007,154.8986,-35.91756,-362.5753
938.5851,196884.3,0,4166.29,-78.32318,-33.30193,-1.100277,-36.31874,-356.5391
944.0104,159153.6,0,7142.13,-719.0875,-26.51727,-6.020342,-35.73677,-362.6009
949.4358,279767.5,0,5372.115,-2203.954,-33.48932,-22.76648,-34.99926,-366.2486
954.8611,264504.3,0,1051.597,-3404.093,-37.37889,-73.57324,-35.50293,-368.7799
960.2864,257412.5,0,1037.008,1191.624,-44.2063,49.23495,-36.1055,-369.6037
965.7118,317074.6,0,3232.583,-49.67892,-39.7422,-0.8895321,-35.84887,-366.3439
971.1371,264499.8,0,122.5726,-2835.589,-39.38401,-88.13935,-36.02041,-378.2018
976.5625,210445.8,0,2266.594,-2964.283,-34.93186,-53.413,-35.83936,-388.9279
981.9879,111520.5,0,1432.183,-222.1177,-37.61165,-8.931389,-36.05051,-397.6169
987.4132,127459.5,0,1170.76,2937.368,-32.03016,69.60143,-36.5788,-392.0582
992.8386,190150.3,0,492.2838,2301.645,-38.12503,78.62257,-35.88483,-399.6536
998.2639,145072.7,0,2046.744,-1255.969,-35.49942,-32.03818,-35.55882,-398.6086
1003.689,122616,0,-1219.139,-3096.591,-31.41609,-112.9222,-35.71863,-395.3541
1009.115,224092,0,-449.2543,-1237.453,-44.63777,-110.2691,-35.62724,-389.6998
1014.54,159593.1,0,-563.4117,-1160.279,-41.88042,-116.3155,-35.45814,-383.2933
1019.965,156088.3,0,1381.712,-3868.102,-31.52139,-71.77518,-34.7987,-381.2822
1025.391,103185.3,0,197.2109,-1875.672,-34.7463,-85.04127,-34.73675,-381.1047
